time,frequency,confidence
0.0,148.5876633151034,0.0944252
0.02,146.58246501872068,0.039127365
0.04,148.04513334263441,0.17585272
0.06,147.9586940951257,0.3076701
0.08,147.6164885647606,0.14962776
0.1,148.73930383898744,0.26560062
0.12,149.08063712006168,0.3761254
0.14,151.7243267852465,0.569679
0.16,143.82237590428088,0.12728766
0.18,148.5808223669512,0.36838683
0.2,145.73767887353478,0.48842713
0.22,146.8904909364191,0.26284036
0.24,151.32148424951288,0.47685152
0.26,151.7303607468853,0.695663
0.28,146.23277961316944,0.8042864
0.3,145.3615426589302,0.84677213
0.32,150.2410918931869,0.7408967
0.34,158.0685818724841,0.6970767
0.36,159.3765431968736,0.88211215
0.38,159.03442971040965,0.87402016
0.4,158.0337662821888,0.86811507
0.42,159.32779735455765,0.81682837
0.44,164.79160333768982,0.6449944
0.46,163.30575341673796,0.67933625
0.48,164.98169578059444,0.43287566
0.5,166.5795908055154,0.6539599
0.52,164.6347833698855,0.7882596
0.54,162.61789364155896,0.72304827
0.56,161.7564457686139,0.60117877
0.58,161.90483428895047,0.5231036
0.6,162.75712206722784,0.77813494
0.62,162.86667357483864,0.81713206
0.64,162.3358346201601,0.8106073
0.66,161.45042987474488,0.8584136
0.68,161.96631818616027,0.83566415
0.7,163.6663854312707,0.8300479
0.72,164.5635103042102,0.815267
0.74,161.34612678249886,0.61066777
0.76,161.89556313493375,0.23237206
0.78,161.61926085905193,0.7836394
0.8,160.33512734687127,0.69813997
0.82,161.25054946454418,0.54711366
0.84,162.72641580888504,0.51705223
0.86,164.73342439193374,0.45862487
0.88,161.14630675360843,0.5784017
0.9,182.30370584146894,0.421106
0.92,198.7278732645894,0.33765087
0.94,223.5237468735125,0.3567225
0.96,246.9803467982652,0.47574785
0.98,245.41811340861926,0.8074944
1.0,244.36785787204062,0.86104316
1.02,246.42924727777043,0.81608665
1.04,250.27954500771702,0.72996426
1.06,253.7052040489948,0.7606579
1.08,255.6499376689606,0.74505746
1.1,255.04672580698522,0.68195987
1.12,253.4487632742805,0.54389155
1.14,254.76305375397158,0.29305944
1.16,243.21967303540475,0.25601435
1.18,222.27451498518317,0.5999594
1.2,200.28110524025004,0.35202572
1.22,187.94454354012257,0.20248377
1.24,173.1228782968987,0.56056
1.26,172.10542378692864,0.75525916
1.28,169.85098598365343,0.78213656
1.3,166.17538424394266,0.75398976
1.32,168.0670875228498,0.79209006
1.34,171.03958656923484,0.85969234
1.36,170.66316842232771,0.8583764
1.38,169.0651902051561,0.8684416
1.4,167.30990762371925,0.88460535
1.42,165.18422639302656,0.88021624
1.44,163.55610021051285,0.6971185
1.46,169.97351695073507,0.78156585
1.48,169.1681547269279,0.72573745
1.5,158.04872521014295,0.1687105
1.52,151.88981275018403,0.44032612
1.54,145.54153195572613,0.6376944
1.56,149.42776744614218,0.6094374
1.58,154.20055160193814,0.76894015
1.6,157.58736274184434,0.85692877
1.62,159.46371725799833,0.8661777
1.64,158.83270255236442,0.8741536
1.66,158.31855870685442,0.88262105
1.68,158.01627939206946,0.892813
1.7,156.95679395493724,0.8543475
1.72,156.5283631010332,0.8649715
1.74,157.50797945653417,0.8532187
1.76,159.2340060345934,0.8379615
1.78,159.774156943145,0.86413205
1.8,157.81951806363398,0.80119956
1.82,153.5472568315538,0.78287023
1.84,152.36592996701586,0.8230324
1.86,151.60711917638147,0.8001771
1.88,152.48717543188747,0.62747896
1.9,157.9128100741196,0.80573285
1.92,159.8438685536536,0.85422826
1.94,160.79914801887597,0.82474357
1.96,159.8622118555552,0.8233934
1.98,158.58552789563402,0.79224896
2.0,158.26151197315056,0.8106429
2.02,158.28899728289545,0.8122945
2.04,157.52693119641071,0.8510865
2.06,154.32689974119944,0.74274397
2.08,147.65124940838203,0.6792781
2.1,144.71357674444317,0.54099154
2.12,143.7271555078144,0.3205006
2.14,156.93741708175742,0.48916754
2.16,154.3359908787811,0.5173731
2.18,156.33996157262402,0.4904424
2.2,161.75729674793405,0.43707263
2.22,166.34900093261507,0.7750493
2.24,166.74759790199755,0.8642242
2.26,165.72469035397435,0.84129554
2.28,159.77100038293224,0.7376747
2.3,154.54831942136218,0.8250631
2.32,152.34335623860733,0.78360665
2.34,147.99471602827418,0.8404994
2.36,146.16656447802998,0.8565031
2.38,144.50436915929535,0.87288606
2.4,144.7228270888295,0.8468584
2.42,148.83536871337088,0.77140355
2.44,156.91455283102275,0.6704444
2.46,162.84264240510163,0.76655805
2.48,163.91588124762268,0.81282794
2.5,161.23240810538425,0.8076471
2.52,159.11079940759032,0.8644454
2.54,159.14991370174423,0.87534416
2.56,160.84861516800882,0.8337494
2.58,163.50565435151384,0.81727433
2.6,165.63120885631258,0.82633084
2.62,165.4765883928852,0.8300988
2.64,160.12203729603766,0.82322395
2.66,157.28474269925476,0.8727829
2.68,158.05842033721888,0.8783073
2.7,161.6698039631599,0.76537883
2.72,165.19565009738972,0.71230197
2.74,162.03046668072002,0.64947003
2.76,160.02813140610172,0.711156
2.78,159.3871620197023,0.7395816
2.8,159.15831859565648,0.63590145
2.82,164.13846222205265,0.68047196
2.84,161.72125598474275,0.6700798
2.86,159.53160996323612,0.63148403
2.88,155.75525972465576,0.32642716
2.9,163.48287968411103,0.29125082
2.92,164.9771797208822,0.43347114
2.94,163.194789805482,0.6366229
2.96,161.68723463288705,0.44220552
2.98,161.60213747446574,0.52405965
3.0,162.65216168947518,0.5146079
3.02,158.246479235092,0.54293644
3.04,154.7469666108631,0.2928653
3.06,157.574073056666,0.6539339
3.08,154.3835420884951,0.6853218
3.1,153.52080863838157,0.70198435
3.12,154.36417371790145,0.7949894
3.14,157.01011749298976,0.83643085
3.16,157.22834138099222,0.87733173
3.18,157.44725710290476,0.8877475
3.2,157.29982554729142,0.86457825
3.22,158.45458960298186,0.8637486
3.24,160.58657381148106,0.816142
3.26,161.17416651974125,0.84436303
3.28,160.9151807384808,0.7980724
3.3,158.90690835698166,0.8338549
3.32,155.53016257557894,0.8520651
3.34,153.5352269723423,0.8295065
3.36,148.6119119549791,0.67267096
3.38,139.36132203081843,0.77407986
3.4,137.68473067996635,0.74374604
3.42,144.11015827400607,0.6197552
3.44,161.17462634423785,0.4182063
3.46,163.68735651726234,0.77082896
3.48,164.74576395977468,0.8036262
3.5,163.5869027991291,0.8008019
3.52,157.9383434767442,0.83488524
3.54,156.13601320179748,0.8382953
3.56,156.9609596177249,0.80343497
3.58,160.32161322071136,0.8727732
3.6,162.6590787221371,0.8144882
3.62,161.88984693256654,0.821435
3.64,157.74361157265398,0.8052676
3.66,156.1754602846703,0.8135903
3.68,158.57283150735992,0.6687516
3.7,162.16193890448614,0.7482311
3.72,157.67298763860148,0.5650003
3.74,163.3813251043641,0.21981564
3.76,183.50757583235932,0.55852985
3.78,189.924917354371,0.84469515
3.8,192.52088593983044,0.85018724
3.82,193.00849689019785,0.86501485
