Frame,Time,frequency,confidence
0,0.0,175.42742630846686,0.10231647
1,0.02,176.94194149354524,0.040019248
2,0.04,176.79182078208413,0.13983643
3,0.06,178.37172251303872,0.10869315
4,0.08,175.83311489189057,0.32038343
5,0.1,186.21483356121803,0.46066707
6,0.12,184.93908170900545,0.4818348
7,0.14,176.2996156415338,0.680354
8,0.16,174.57387992732015,0.7130972
9,0.18,174.52752361803613,0.5045123
10,0.2,175.631596607895,0.6536615
11,0.22,173.16070967233796,0.54648066
12,0.24,171.89380819877778,0.8167292
13,0.26,171.52277506523546,0.8667621
14,0.28,170.85468970372958,0.7921443
15,0.3,167.15923357394388,0.6603847
16,0.32,164.3663643320413,0.74286383
17,0.34,160.40799495194435,0.7087951
18,0.36,159.90827422375008,0.64107096
19,0.38,161.91823218974088,0.6309955
20,0.4,163.39886108712423,0.7169514
21,0.42,168.35051974100287,0.6325973
22,0.44,175.3650680022851,0.5003323
23,0.46,177.16889214060797,0.7669941
24,0.48,176.67432499674274,0.8353394
25,0.5,176.0257793369499,0.7769612
26,0.52,174.8302103788663,0.72193086
27,0.54,174.6616283170614,0.54404485
28,0.56,175.10205348162643,0.67860425
29,0.58,174.95586077101524,0.75256354
30,0.6,172.29735900250103,0.7520252
31,0.62,165.47162245404007,0.7211412
32,0.64,160.02302668891386,0.57921755
33,0.66,155.4005042705432,0.5200509
34,0.68,157.06248752302992,0.37526384
35,0.7000000000000001,161.78684611125735,0.40060088
36,0.72,161.18871149010258,0.54466176
37,0.74,150.8110533251297,0.32399493
38,0.76,161.19832691461255,0.4334914
39,0.78,182.20890948370965,0.13565566
40,0.8,199.97828229406696,0.7281993
41,0.8200000000000001,198.31074963863787,0.7800582
42,0.84,198.59712880933867,0.81974894
43,0.86,197.45191101917672,0.8406068
44,0.88,194.03114778099354,0.795269
45,0.9,193.0978928365559,0.634477
46,0.92,193.96481691880928,0.5867951
47,0.9400000000000001,194.3102679898948,0.119608544
48,0.96,173.61597128092353,0.6222688
49,0.98,161.28047511503453,0.62633777
50,1.0,165.90428812104767,0.8209344
51,1.02,170.7769456168336,0.7556788
52,1.04,180.00931272652193,0.77740735
53,1.06,180.4431070411281,0.8158206
54,1.08,174.93632724718964,0.7930362
55,1.1,165.79465258602679,0.67616653
56,1.12,151.7528119114465,0.69542325
57,1.1400000000000001,152.0988206266952,0.50797904
58,1.16,167.0338729539223,0.5445384
59,1.18,175.60799335128524,0.77035046
60,1.2,180.43974345425565,0.79950786
61,1.22,179.3529755769923,0.7741232
62,1.24,175.46839730929707,0.6554656
63,1.26,164.69315967507157,0.24181311
64,1.28,146.95265112573097,0.51342225
65,1.3,157.63638562653233,0.3879422
66,1.32,168.1183337526281,0.47509778
67,1.34,168.67912188639502,0.8370507
68,1.36,172.38886445551128,0.8070005
69,1.3800000000000001,178.23576272928074,0.78640056
70,1.4000000000000001,180.9694142179349,0.83635354
71,1.42,180.06297520358493,0.8033386
72,1.44,176.10599557205916,0.7255186
73,1.46,169.23105381036584,0.48148194
74,1.48,151.58537998197107,0.68147117
75,1.5,146.0380507681748,0.6276672
76,1.52,139.42131376256495,0.4797984
77,1.54,143.19351346323597,0.13150086
78,1.56,149.63885481887425,0.15636094
79,1.58,142.51586034270983,0.25747877
80,1.6,157.47100118602756,0.5293329
81,1.62,163.22313287866086,0.72499263
82,1.6400000000000001,165.34563934139788,0.6844016
83,1.6600000000000001,170.44938769737084,0.41419235
84,1.68,179.59894749757575,0.26759452
85,1.7,182.3940708641263,0.3447626
86,1.72,183.22756503192824,0.39196274
87,1.74,185.83534824995908,0.27332297
88,1.76,191.4136071164437,0.431237
89,1.78,184.8356384534279,0.74703276
90,1.8,186.06108126333203,0.7862222
91,1.82,194.65494474149176,0.75243306
92,1.84,206.84428596963315,0.81593746
93,1.86,211.2557138298072,0.8639412
94,1.8800000000000001,208.61645995155314,0.6572045
95,1.9000000000000001,189.57552249536067,0.34593734
96,1.92,169.0278258428749,0.45859197
97,1.94,158.12268331776767,0.28149182
98,1.96,165.68690811946107,0.66418624
99,1.98,165.30704601726782,0.8202984
100,2.0,169.2238959900624,0.79956526
101,2.02,177.36255484756487,0.78652096
102,2.04,184.08761243640296,0.82279325
103,2.06,186.26989275639255,0.7816727
104,2.08,182.7546234996476,0.45183572
105,2.1,166.0170610417714,0.062486336
106,2.12,165.80661132405316,0.3031281
107,2.14,164.0851831807205,0.17326316
108,2.16,171.17404577621204,0.4426234
109,2.18,177.38841443838345,0.08851563
110,2.2,179.1764509635473,0.5060463
111,2.22,178.8460973756405,0.44838494
112,2.24,170.27368897172255,0.432763
113,2.2600000000000002,149.01881205328894,0.18743904
114,2.2800000000000002,140.63599794703194,0.6686133
115,2.3000000000000003,156.78512867429995,0.3590002
116,2.32,166.62106066335662,0.68925154
117,2.34,174.8126837658179,0.75232244
118,2.36,178.72317595787965,0.8711777
119,2.38,177.53265510049613,0.6838727
120,2.4,169.4991972039081,0.6246747
121,2.42,161.58518854413555,0.30212417
122,2.44,177.80293373359953,0.16341826
123,2.46,200.2085136000345,0.5342146
124,2.48,204.33019692062473,0.8051584
125,2.5,205.4559993027993,0.82534766
126,2.52,203.0308976587743,0.63885784
127,2.54,200.39609519801755,0.5355072
128,2.56,199.63902573405068,0.6415114
129,2.58,198.06060522590548,0.77006614
130,2.6,200.21481044308845,0.5942452
131,2.62,199.32712596227725,0.4565668
132,2.64,203.12119028352828,0.42956755
133,2.66,218.9721613587443,0.12071052
134,2.68,201.60920811458152,0.10067969
135,2.7,195.57556061884242,0.08130091
136,2.72,191.93104222561703,0.16535223
137,2.74,180.48050946517986,0.1468858
138,2.7600000000000002,168.79979799290524,0.62700015
139,2.7800000000000002,170.9708659398588,0.849064
140,2.8000000000000003,176.94488836949287,0.836174
141,2.82,179.31231020971825,0.7882677
142,2.84,178.17138363445068,0.6415432
