Frame,Time,frequency,confidence
0,0.0,196.62937629476176,0.058741614
1,0.02,198.3523887974763,0.094815314
2,0.04,197.72054803959247,0.10225762
3,0.06,197.06750907507137,0.25156733
4,0.08,196.21390958588717,0.24999611
5,0.1,197.08953781291623,0.18362215
6,0.12,212.85576008696796,0.104264416
7,0.14,236.61598321021393,0.10857773
8,0.16,235.81327886842496,0.31886947
9,0.18,228.80186588354562,0.31098083
10,0.2,234.05157153990996,0.32452753
11,0.22,244.51739598046063,0.061620858
12,0.24,250.96466781379345,0.16437313
13,0.26,252.97584988958107,0.23231839
14,0.28,248.29869907413365,0.09052889
15,0.3,242.6970410338794,0.13368195
16,0.32,247.02650244965727,0.10577398
17,0.34,227.19212631822458,0.17563593
18,0.36,206.8134431061518,0.15896735
19,0.38,215.48516538065383,0.15596013
20,0.4,202.02976302901718,0.13114434
21,0.42,188.2440272779699,0.21301135
22,0.44,201.1571854678764,0.07078361
23,0.46,220.1339852481814,0.042845946
24,0.48,226.42331240631813,0.13947591
25,0.5,228.3249247177808,0.2257683
26,0.52,228.75621776534828,0.11745265
27,0.54,200.72882718616415,0.19061872
28,0.56,191.75915990358163,0.29572663
29,0.58,185.04905943064514,0.2570461
30,0.6,191.16520245210128,0.09249455
31,0.62,193.40584255093722,0.18092722
32,0.64,197.3994722666547,0.1120975
33,0.66,199.142764540247,0.17426123
34,0.68,204.69354428142805,0.22425395
35,0.7000000000000001,205.24287109252865,0.22634965
36,0.72,206.44957391111475,0.065031946
37,0.74,206.28208281359872,0.22726917
38,0.76,202.9346558342416,0.0976484
39,0.78,202.64910112595356,0.099996425
40,0.8,199.72345401921518,0.15777813
41,0.8200000000000001,200.73999715623304,0.11229563
42,0.84,192.3976579109618,0.18127434
43,0.86,202.45583825603018,0.103130385
44,0.88,212.02494076137617,0.08485179
45,0.9,223.02924941514993,0.18951583
46,0.92,225.74664712124783,0.13957155
47,0.9400000000000001,219.1871658110761,0.092763916
48,0.96,211.46003134518816,0.14108498
49,0.98,202.68378692530445,0.06844665
50,1.0,193.66480510038883,0.15949652
51,1.02,210.7546256287302,0.08976929
52,1.04,212.35270563288066,0.097624496
53,1.06,219.05546384342017,0.14594935
54,1.08,220.02054944841646,0.16235144
55,1.1,222.22190847557854,0.16982114
56,1.12,222.8907909196818,0.11698312
57,1.1400000000000001,243.51327272276552,0.19486392
58,1.16,268.5860797486374,0.13727967
59,1.18,295.9672792146222,0.1533782
60,1.2,295.6325004597057,0.09236118
61,1.22,291.6005296744084,0.103225
62,1.24,297.54792595299904,0.16324341
63,1.26,295.8996534253592,0.35615304
64,1.28,298.21972543709023,0.40873396
65,1.3,298.6610228811492,0.42460904
66,1.32,301.3724371529215,0.2456118
67,1.34,302.7563483459488,0.20369148
68,1.36,299.6871623449476,0.29628894
